Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR2036629_1	96.25435857080534	56.0	126.0	54.54545454545454	24278349.0
ERR2036629_2	95.76990499283339	56.0	126.0	45.45454545454545	24278349.0
ERR2036630_1	96.79029905589505	56.0	126.0	63.63636363636363	25190273.0
ERR2036630_2	96.08518824417922	56.0	126.0	45.45454545454545	25190273.0
ERR2036631_1	82.52825073531451	52.0	126.0	45.45454545454545	20554133.0
ERR2036631_2	81.67945085539583	52.0	126.0	27.27272727272727	20554133.0
ERR2036632_1	87.94299444161862	52.0	126.0	36.36363636363637	27121727.0
ERR2036632_2	87.25276043036797	51.0	126.0	27.27272727272727	27121727.0
ERR2036633_1	96.71707488056255	56.0	126.0	54.54545454545454	24900532.0
ERR2036633_2	96.14121678731503	56.0	126.0	27.27272727272727	24900532.0
ERR2117288_1	96.25435857080534	56.0	126.0	54.54545454545454	24278349.0
ERR2117288_2	95.76990499283339	56.0	126.0	45.45454545454545	24278349.0
ERR2117289_1	96.79029905589505	56.0	126.0	63.63636363636363	25190273.0
ERR2117289_2	96.08518824417922	56.0	126.0	45.45454545454545	25190273.0
ERR2117290_1	82.52825073531451	52.0	126.0	45.45454545454545	20554133.0
ERR2117290_2	81.67945085539583	52.0	126.0	27.27272727272727	20554133.0
ERR2117291_1	87.94299444161862	52.0	126.0	36.36363636363637	27121727.0
ERR2117291_2	87.25276043036797	51.0	126.0	27.27272727272727	27121727.0
ERR2117292_1	96.71707488056255	56.0	126.0	54.54545454545454	24900532.0
ERR2117292_2	96.14121678731503	56.0	126.0	27.27272727272727	24900532.0
