"","Sample","Total.reads","Mapped.reads","Mapped.and.paired","% of reads mapped"
"1","ERR2036629",43586182,43381593,43364394,99.5306104122632
"2","ERR2036630",43974040,43778495,43764032,99.5553171825923
"3","ERR2036631",31644080,21979952,21559346,69.4599179372571
"4","ERR2036632",32324174,23159333,22715616,71.6470991648541
"5","ERR2036633",44698432,44578589,44565026,99.7318854495836
"6","ERR2117288",43586182,43381593,43364394,99.5306104122632
"7","ERR2117289",43974040,43778495,43764032,99.5553171825923
"8","ERR2117290",31644080,21979952,21559346,69.4599179372571
"9","ERR2117291",32324174,23159333,22715616,71.6470991648541
"10","ERR2117292",44698432,44578589,44565026,99.7318854495836
