Ammonia & glutamate conversion to glutamine,Nitrogen fixation
Arsenic resistance,Metal resistance
ATP synthase,ATP synthase
c-di-GMP effector proteins; Cellulose production,c−di−GMP
c-di-GMP effector proteins; Extracellular polysaccharide production and export,c−di−GMP
c-di-GMP specific phosphodiestereases (EAL domain-containing proteins),c−di−GMP
Cadmium/cobalt/zinc resistance,Metal resistance
Calvin-Benson-Bassham cycle carbon dioxide fixation,Carbon fixation via CBB cycle
Cellulose production,Polysaccharides
Chaperones,pH homeostasis
Chemotaxis,Chemotaxis
Copper resistance,Metal resistance
Copper/silver resistance,Metal resistance
Copper/silver resistance; Cadmium/cobalt/zinc resistance,Metal resistance
Cytochrome b/c1,Cytochromes
Cytochrome bd,Cytochromes
Cytochrome c,Cytochromes
Cytochrome cbb3 oxidase,Cytochromes
Cytochrome cbb3 oxidase; Proton transporters,Cytochromes
Extracellular polysaccharide production and export,Polysaccharides
Genes encoding proteins with EAL and GGDEF domains,c−di−GMP
Lipopolysaccharide synthesis,Polysaccharides
Mercury resistance,Metal resistance
Metal tolerance,Metal resistance
Motility,Motility
NADH dehydrogenase,NADH dehydrogenase
Nitrate/nitrite regulation,Nitrogen fixation
Nitrite uptake & assimilation to ammonia,Nitrogen fixation
Nitrogenase genes,Nitrogen fixation
Other,Other
Oxidative stress response,Oxidative stress response
Proton consuming reactions,pH homeostasis
Proton transporters,pH homeostasis
Putative diguanylate cyclases (GGDEF domain-containing proteins),c−di−GMP
putative pel operon,Polysaccharides
Quorum sensing,c−di−GMP
Reductive TCA cycle carbon dioxide fixation,Carbon fixation via rTCA cycle
Reductive TCA cycle carbon dioxide fixation; Oxidative stress response,Carbon fixation via rTCA cycle
Reductive TCA cycle carbon dioxide fixation; Succinate dehydrogenase / fumarate reductase,Carbon fixation via rTCA cycle
Role of potassium in the internal positive membrane potential,pH homeostasis
Role of potassium in the internal positive membrane potential; Proton transporters,pH homeostasis
Spermidine,pH homeostasis
