locus_tag	ftype	gene	EC_number	product
LFT_00001	CDS	dnaA		Chromosomal replication initiator protein DnaA
LFT_00002	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
LFT_00003	CDS	gyrB	5.99.1.3	DNA gyrase subunit B
LFT_00004	CDS	gyrA	5.99.1.3	DNA gyrase subunit A
LFT_00005	CDS	bamD_1		Outer membrane protein assembly factor BamD
	sig_peptide			putative signal peptide
LFT_00006	CDS	queE	4.3.99.3	7-carboxy-7-deazaguanine synthase
LFT_00007	CDS	queC	6.3.4.20	7-cyano-7-deazaguanine synthase
LFT_00008	CDS	pepA	3.4.11.1	Cytosol aminopeptidase
LFT_00009	CDS	smpB		SsrA-binding protein
LFT_00010	tmRNA	ssrA		transfer-messenger RNA, SsrA
LFT_00011	misc_RNA			tmRNA
LFT_00012	CDS		2.1.1.-	putative methyltransferase
LFT_00013	CDS			hypothetical protein
LFT_00014	CDS	ybaQ_1		putative HTH-type transcriptional regulator YbaQ
LFT_00015	CDS			hypothetical protein
LFT_00016	CDS			hypothetical protein
LFT_00017	CDS	higB-1		Toxin HigB-1
LFT_00018	CDS			hypothetical protein
LFT_00019	CDS			hypothetical protein
LFT_00020	CDS	leuA_1	2.3.3.13	2-isopropylmalate synthase
LFT_00021	CDS	lrp		Leucine-responsive regulatory protein
LFT_00022	CDS			hypothetical protein
LFT_00023	CDS	adhT	1.1.1.1	Alcohol dehydrogenase
LFT_00024	CDS			putative NTE family protein
LFT_00025	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 3
LFT_00026	CDS	mutT2	3.6.1.55	Putative 8-oxo-dGTP diphosphatase 2
LFT_00027	CDS	radD	3.6.4.12	Putative DNA repair helicase RadD
LFT_00028	CDS			hypothetical protein
LFT_00029	CDS			hypothetical protein
LFT_00030	CDS			hypothetical protein
LFT_00031	CDS	dosC	2.7.7.65	Diguanylate cyclase DosC
LFT_00032	CDS	mtcA1	4.2.1.1	Beta-carbonic anhydrase 1
LFT_00033	CDS	sqr	1.8.5.4	Sulfide-quinone reductase
LFT_00034	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00035	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00036	CDS	yjcC	3.1.4.52	Putative cyclic-di-GMP phosphodiesterase YjcC
LFT_00037	CDS	queA	2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LFT_00038	CDS	ubiE_1	2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
LFT_00039	CDS			hypothetical protein
LFT_00040	CDS			hypothetical protein
LFT_00041	CDS			hypothetical protein
LFT_00042	CDS			hypothetical protein
LFT_00043	CDS	resE	2.7.13.3	Sensor histidine kinase ResE
LFT_00044	CDS	zraR_1		Transcriptional regulatory protein ZraR
LFT_00045	CDS	fabH_1	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3
LFT_00046	CDS	bamD_2		Outer membrane protein assembly factor BamD
LFT_00047	CDS	sirC	1.3.1.76	Precorrin-2 dehydrogenase
LFT_00048	CDS			hypothetical protein
LFT_00049	tRNA			tRNA-Leu(gag)
LFT_00050	CDS	bdlA_1		Biofilm dispersion protein BdlA
LFT_00051	CDS	pyrE_1	2.4.2.10	Orotate phosphoribosyltransferase
LFT_00052	CDS			hypothetical protein
LFT_00053	CDS	mrcA		Penicillin-binding protein 1A
LFT_00054	CDS	gap	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase
LFT_00055	CDS	pgk	2.7.2.3	Phosphoglycerate kinase
LFT_00056	CDS	tpiA	5.3.1.1	Triosephosphate isomerase
LFT_00057	CDS	secG		Protein-export membrane protein SecG
LFT_00058	CDS			putative ABC transporter-binding protein
	sig_peptide			putative signal peptide
LFT_00059	CDS	dppB_1		Dipeptide transport system permease protein DppB
LFT_00060	CDS	oppC_1		Oligopeptide transport system permease protein OppC
LFT_00061	CDS	gph_1	3.1.3.18	Phosphoglycolate phosphatase
LFT_00062	CDS			hypothetical protein
LFT_00063	CDS			hypothetical protein
LFT_00064	CDS	atpB		ATP synthase subunit a
LFT_00065	CDS	atpE		ATP synthase subunit c, sodium ion specific
LFT_00066	CDS	atpF		ATP synthase subunit b, sodium ion specific
LFT_00067	CDS	atpH		ATP synthase subunit delta
LFT_00068	CDS	atpA	3.6.3.14	ATP synthase subunit alpha
LFT_00069	CDS	atpG		ATP synthase gamma chain
LFT_00070	CDS	atpD1	3.6.3.14	ATP synthase subunit beta 1
LFT_00071	CDS	atpC		ATP synthase epsilon chain
LFT_00072	CDS	gloC	3.1.2.6	Hydroxyacylglutathione hydrolase GloC
LFT_00073	CDS			hypothetical protein
LFT_00074	tRNA			tRNA-Pro(tgg)
LFT_00075	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00076	CDS	arlR		Response regulator ArlR
LFT_00077	CDS	walK	2.7.13.3	Sensor protein kinase WalK
LFT_00078	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00079	CDS	bamB_1		Outer membrane protein assembly factor BamB
LFT_00080	CDS	clcD	3.1.1.45	Carboxymethylenebutenolidase
LFT_00081	CDS			hypothetical protein
LFT_00082	CDS	lpxH	3.6.1.54	UDP-2,3-diacylglucosamine hydrolase
LFT_00083	CDS	ugtP	2.4.1.315	Processive diacylglycerol beta-glucosyltransferase
LFT_00084	CDS			hypothetical protein
LFT_00085	CDS	gloA	4.4.1.5	Lactoylglutathione lyase
LFT_00086	CDS	acsA	6.2.1.1	Acetyl-coenzyme A synthetase
LFT_00087	CDS	thiG	2.8.1.10	Thiazole synthase
LFT_00088	CDS	tenI	5.3.99.10	Thiazole tautomerase
LFT_00089	CDS	mepM_1	3.4.24.-	Murein DD-endopeptidase MepM
	sig_peptide			putative signal peptide
LFT_00090	CDS	thiD	2.7.1.49	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
LFT_00091	CDS	dosP	3.1.4.52	Oxygen sensor protein DosP
LFT_00092	CDS	thrZ	6.1.1.3	Threonine--tRNA ligase 2
LFT_00093	CDS	infC		Translation initiation factor IF-3
LFT_00094	CDS	rpmI		50S ribosomal protein L35
LFT_00095	CDS	rplT		50S ribosomal protein L20
LFT_00096	CDS	pheT	6.1.1.20	Phenylalanine--tRNA ligase beta subunit
LFT_00097	CDS	pheS	6.1.1.20	Phenylalanine--tRNA ligase alpha subunit
LFT_00098	CDS	oppF		Oligopeptide transport ATP-binding protein OppF
LFT_00099	CDS			putative ABC transporter ATP-binding protein
LFT_00100	CDS	queD	4.1.2.50	6-carboxy-5,6,7,8-tetrahydropterin synthase
LFT_00101	CDS			hypothetical protein
LFT_00102	CDS			Ycf48-like protein
LFT_00103	CDS	fur		Ferric uptake regulation protein
LFT_00104	CDS	rplU		50S ribosomal protein L21
LFT_00105	CDS	rpmA		50S ribosomal protein L27
LFT_00106	CDS	obg	3.6.5.-	GTPase Obg
LFT_00107	CDS	proB	2.7.2.11	Glutamate 5-kinase
LFT_00108	CDS	proA	1.2.1.41	Gamma-glutamyl phosphate reductase
LFT_00109	CDS	nadD	2.7.7.18	Nicotinate-nucleotide adenylyltransferase
LFT_00110	CDS	rsfS		Ribosomal silencing factor RsfS
LFT_00111	CDS	lapB_1		Lipopolysaccharide assembly protein B
LFT_00112	CDS	pyrE_2	2.4.2.10	Orotate phosphoribosyltransferase
LFT_00113	CDS	dinG	3.6.4.12	putative ATP-dependent helicase DinG
LFT_00114	CDS	cmpR_1		HTH-type transcriptional activator CmpR
LFT_00115	CDS			hypothetical protein
LFT_00116	CDS			hypothetical protein
LFT_00117	CDS	yccA		Modulator of FtsH protease YccA
LFT_00118	CDS	ilvE_1	2.6.1.42	Branched-chain-amino-acid aminotransferase
LFT_00119	CDS	polA	2.7.7.7	DNA polymerase I, thermostable
LFT_00120	CDS			hypothetical protein
LFT_00121	CDS			hypothetical protein
LFT_00122	CDS	coaE	2.7.1.24	Dephospho-CoA kinase
LFT_00123	CDS	gtaB_1	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
LFT_00124	CDS	lon	3.4.21.53	Lon protease
LFT_00125	CDS	thiL	2.7.4.16	Thiamine-monophosphate kinase
LFT_00126	CDS			hypothetical protein
LFT_00127	CDS	pal_1		Peptidoglycan-associated lipoprotein
	sig_peptide			putative signal peptide
LFT_00128	CDS	pal_2		Peptidoglycan-associated lipoprotein
	sig_peptide			putative signal peptide
LFT_00129	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00130	CDS	rnr	3.1.13.1	Ribonuclease R
LFT_00131	CDS			hypothetical protein
	sig_peptide			putative signal peptide
LFT_00132	CDS			hypothetical protein
LFT_00133	CDS			hypothetical protein
LFT_00134	CDS			hypothetical protein
LFT_00135	CDS			Light-activated DNA-binding protein EL222
LFT_00136	CDS			hypothetical protein
LFT_00137	CDS			hypothetical protein
LFT_00138	tRNA			tRNA-Met(cat)
LFT_00139	CDS	lpd	1.8.1.4	Dihydrolipoyl dehydrogenase
LFT_00140	CDS			hypothetical protein
LFT_00141	CDS			hypothetical protein
LFT_00142	CDS	sapM	3.1.3.64	Phosphatidylinositol-3-phosphatase
	sig_peptide			putative signal peptide
LFT_00143	CDS			hypothetical protein
LFT_00144	CDS			hypothetical protein
LFT_00145	CDS	tusA_1	2.8.1.-	Sulfurtransferase TusA
LFT_00146	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 2
LFT_00147	CDS	trpD	2.4.2.18	Anthranilate phosphoribosyltransferase
LFT_00148	CDS	mazG	3.6.1.8	Nucleoside triphosphate pyrophosphohydrolase
LFT_00149	CDS			hypothetical protein
LFT_00150	CDS	mopR		Phenol regulator MopR
LFT_00151	tRNA			tRNA-Ser(cga)
LFT_00152	CDS			hypothetical protein
LFT_00153	tRNA			tRNA-Ser(tga)
LFT_00154	tRNA			tRNA-Ser(gct)
LFT_00155	CDS	mscK		Mechanosensitive channel MscK
LFT_00156	CDS	prfC		Peptide chain release factor 3
LFT_00157	CDS	recR		Recombination protein RecR
LFT_00158	CDS			Nucleoid-associated protein
LFT_00159	CDS	dnaX_1	2.7.7.7	DNA polymerase III subunit tau
LFT_00160	misc_RNA			Bacteria_large_SRP
LFT_00161	misc_RNA			Bacteria_small_SRP
LFT_00162	tRNA			tRNA-Ser(gga)
