,locus_tag,gene
1,LFT_00080,clcD
2,LFT_00306,zraS_2
3,LFT_00354,prcA_1
4,LFT_00514,rfbC
5,LFT_00594,wbpA
6,LFT_00598,amsI
7,LFT_00850,petC
8,LFT_00984,tpm
9,LFT_00994,cobC
10,LFT_01181,per
11,LFT_01428,degQ
12,LFT_01741,pphA
13,LFT_01892,bcrC_2
14,LFT_01899,phoR_2
15,LFT_01910,spsB
16,LFT_01975,petC1
17,LFT_01996,fixN
18,LFT_02105,adh
19,LFT_02159,ccpA
20,LFT_02215,rimI
21,LFT_02226,crnA
22,LFT_02234,gph_2
23,LFT_02510,prsA2
24,LFT_00462,sqr
25,LFT_01559,ygfA
26,LFT_01904,kdsC
27,LFT_01953,hit
28,LFT_01965,ttuD
29,LFT_02282,ybbD
30,LFT_00612,Putative peroxiredoxin
31,LFT_02467,"1,4-alpha-glucan branching enzyme"
32,LFT_00330,trxA_1
33,LFT_00447,aprB
34,LFT_00758,cc4_1
35,LFT_00767,cc4_2
36,LFT_00673,cysO
37,LFT_01093,pleD_3
38,LFT_01857,nifL
39,LFT_00824,pppA
40,LFT_00411,MA20_05655
41,LFT_00840,pqqL
42,LFT_02050,yhhW_2
