,locus_tag,gene
1,LFT_00001,dnaA
2,LFT_00002,dnaN
3,LFT_00003,gyrB
4,LFT_00004,gyrA
5,LFT_00006,queE
6,LFT_00007,queC
7,LFT_00008,pepA
8,LFT_00009,smpB
9,LFT_00033,sqr
10,LFT_00037,queA
11,LFT_00053,mrcA
12,LFT_00055,pgk
13,LFT_00056,tpiA
14,LFT_00057,secG
15,LFT_00064,atpB
16,LFT_00065,atpE
17,LFT_00066,atpF
18,LFT_00067,atpH
19,LFT_00068,atpA
20,LFT_00069,atpG
21,LFT_00071,atpC
22,LFT_00082,lpxH
23,LFT_00083,ugtP
24,LFT_00085,gloA
25,LFT_00087,thiG
26,LFT_00090,thiD
27,LFT_00093,infC
28,LFT_00094,rpmI
29,LFT_00095,rplT
30,LFT_00096,pheT
31,LFT_00097,pheS
32,LFT_00100,queD
33,LFT_00103,fur
34,LFT_00104,rplU
35,LFT_00105,rpmA
36,LFT_00106,obg
37,LFT_00107,proB
38,LFT_00108,proA
39,LFT_00109,nadD
40,LFT_00110,rsfS
41,LFT_00113,dinG
42,LFT_00117,yccA
43,LFT_00119,polA
44,LFT_00122,coaE
45,LFT_00124,lon
46,LFT_00125,thiL
47,LFT_00130,rnr
48,LFT_00148,mazG
49,LFT_00156,prfC
50,LFT_00157,recR
51,LFT_00173,czcA_1
52,LFT_00174,ygiD
53,LFT_00175,dksA
54,LFT_00178,dapF
55,LFT_00183,trmI
56,LFT_00195,gcvH
57,LFT_00196,gcvPA
58,LFT_00197,gcvPB
59,LFT_00198,lipM
60,LFT_00202,queG
61,LFT_00207,flgB
62,LFT_00208,flgC
63,LFT_00209,fliE
64,LFT_00210,fliF
65,LFT_00211,fliG
66,LFT_00217,flgD
67,LFT_00218,flgE
68,LFT_00219,fliL
69,LFT_00220,fliN
70,LFT_00222,fliP
71,LFT_00226,flhA
72,LFT_00227,flhF
73,LFT_00229,fliA
74,LFT_00232,cheA
75,LFT_00233,cheB
76,LFT_00238,motB
77,LFT_00249,dapL
78,LFT_00253,mutY
79,LFT_00263,dprA
80,LFT_00266,trmFO
81,LFT_00268,hslV
82,LFT_00269,hslU
83,LFT_00270,argB
84,LFT_00272,dut
85,LFT_00273,rsmI
86,LFT_00274,panC
87,LFT_00276,frmR
88,LFT_00301,ruvB
89,LFT_00302,ruvA
90,LFT_00303,ruvC
91,LFT_00319,mdeA
92,LFT_00322,amtB
93,LFT_00325,copA
94,LFT_00331,pepN
95,LFT_00343,adhA
96,LFT_00364,ectD
97,LFT_00365,ectC
98,LFT_00366,ectB
99,LFT_00367,ectA
100,LFT_00378,rbr
101,LFT_00380,pabB
102,LFT_00390,murJ
103,LFT_00391,rpsT
104,LFT_00394,leuS
105,LFT_00408,yhjE
106,LFT_00416,hflX
107,LFT_00420,serS
108,LFT_00427,gpsA
109,LFT_00429,truA
110,LFT_00432,mrp
111,LFT_00437,hscB
112,LFT_00439,iscU
113,LFT_00446,aprA
114,LFT_00448,sat
115,LFT_00459,cydA
116,LFT_00460,cydB
117,LFT_00474,kdpC
118,LFT_00475,kdpA
119,LFT_00476,kdpB
120,LFT_00489,glpC
121,LFT_00501,msrA
122,LFT_00511,leuC
123,LFT_00513,rfbA
124,LFT_00519,gadB
125,LFT_00520,treZ
126,LFT_00521,treY
127,LFT_00615,mraZ
128,LFT_00616,rsmH
129,LFT_00619,murE
130,LFT_00620,murF
131,LFT_00621,mraY
132,LFT_00622,murD
133,LFT_00623,ftsW
134,LFT_00624,murG
135,LFT_00625,murC
136,LFT_00626,murB
137,LFT_00627,ddl
