BLASTX 2.9.0+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: NCBI Protein Reference Sequences
           155,334,636 sequences; 58,941,098,972 total letters



Query= ENA|OBMB01000001|OBMB01000001.1 Leptospirillum ferriphilum isolate
pb_238 genome assembly, contig: unitig_0_quiver

Length=1740
                                                                      Score        E
Sequences producing significant alignments:                          (Bits)     Value

WP_143468932.1 dTMP kinase [Leptospirillum ferriphilum]               431        6e-147
WP_036082512.1 hypothetical protein [Leptospirillum ferriphilum]      421        1e-139
WP_099590442.1 hypothetical protein [Leptospirillum ferriphilum]      308        9e-100
WP_036082510.1 hypothetical protein [Leptospirillum ferriphilum]      200        9e-71 
WP_052157864.1 dTMP kinase [Leptospirillum ferriphilum]               238        7e-70 
WP_099590700.1 hypothetical protein [Leptospirillum ferriphilum]      185        2e-52 
WP_099590441.1 hypothetical protein [Leptospirillum ferriphilum]      180        3e-51 
WP_099590698.1 hypothetical protein [Leptospirillum ferriphilum]      98.2       6e-37 
WP_099590699.1 hypothetical protein [Leptospirillum ferriphilum]      116        1e-27 
WP_006001863.1 dTMP kinase [Desulfuromonas acetoxidans]               119        4e-27 
WP_004513302.1 dTMP kinase [Geobacter metallireducens]                118        1e-26 
WP_066726679.1 dTMP kinase [Desulfuromonas sp. DDH964]                116        6e-26 
WP_106807760.1 dTMP kinase [Candidatus Sulfotelmatobacter kueseliae]  114        2e-25 
WP_010942869.1 dTMP kinase [Geobacter sulfurreducens]                 113        7e-25 
WP_134322136.1 dTMP kinase [Cumulibacter sp. G-1]                     112        1e-24 
WP_035614343.1 dTMP kinase [Haloferula sp. BvORR071]                  112        1e-24 
WP_053550782.1 dTMP kinase [Desulfuromonas soudanensis]               112        2e-24 
WP_149755191.1 dTMP kinase [Roseivivax sediminis]                     112        2e-24 
WP_051487555.1 dTMP kinase [Roseivivax marinus]                       112        2e-24 
WP_027714330.1 dTMP kinase [Desulfuromonas sp. TF]                    111        3e-24 
WP_039643820.1 dTMP kinase [Geobacter soli]                           111        4e-24 
WP_066357242.1 dTMP kinase [Geobacter anodireducens]                  111        4e-24 
WP_037261039.1 dTMP kinase [Roseivivax halodurans]                    110        5e-24 
WP_050662644.1 dTMP kinase [Roseovarius tolerans]                     110        5e-24 
WP_129742720.1 dTMP kinase [Candidatus Gastranaerophilales bacter...  110        6e-24 
WP_119333035.1 dTMP kinase [Geobacter sulfurreducens]                 110        6e-24 
WP_009539994.1 dTMP kinase [Caenispirillum salinarum]                 110        1e-23 
WP_111837158.1 MULTISPECIES: dTMP kinase [Actinomyces]                99.8       2e-23 
WP_011179369.1 dTMP kinase [Bartonella quintana]                      108        3e-23 
WP_014924067.1 dTMP kinase [Bartonella quintana]                      108        3e-23 
WP_078695297.1 dTMP kinase [Caloramator quimbayensis]                 108        4e-23 
WP_038647950.1 dTMP kinase [Spiroplasma culicicola]                   108        4e-23 
WP_101790648.1 dTMP kinase [Nonomuraea indica]                        102        4e-23 
WP_076649841.1 dTMP kinase [Pontibaca methylaminivorans]              108        5e-23 
WP_097081751.1 dTMP kinase [Rhodobacter sp. JA431]                    107        5e-23 
WP_080454949.1 dTMP kinase [Roseovarius sp. A-2]                      107        6e-23 
WP_023175430.1 dTMP kinase [Gloeobacter kilaueensis]                  107        7e-23 
WP_022481663.1 dTMP kinase [Candidatus Gastranaerophilales bacter...  107        7e-23 
WP_067138628.1 dTMP kinase [Microtetraspora malaysiensis]             100        8e-23 
WP_105319563.1 dTMP kinase [Rhodobacteraceae bacterium WD3A24]        107        8e-23 
WP_093245502.1 dTMP kinase [Ruminococcaceae bacterium YAD3003]        107        8e-23 
WP_066945653.1 dTMP kinase [Microtetraspora fusca]                    100        8e-23 
WP_097805981.1 dTMP kinase [Pelagimonas varians]                      107        9e-23 
WP_152176923.1 dTMP kinase [Tetrasphaera sp. F2B08]                   107        1e-22 
WP_011939980.1 dTMP kinase [Geobacter uraniireducens]                 107        1e-22 
WP_074785224.1 dTMP kinase [Roseovarius tolerans]                     107        1e-22 
WP_107967614.1 dTMP kinase [Sphingomonas oleivorans]                  106        1e-22 
WP_126416293.1 dTMP kinase [Trueperella bialowiezensis]               96.3       1e-22 
WP_108799339.1 dTMP kinase [Rhodobacteraceae bacterium Alg231-04]     107        1e-22 
WP_059177212.1 dTMP kinase [Thermodesulfovibrio aggregans]            97.1       1e-22 
WP_090029679.1 dTMP kinase [Lutimaribacter saemankumensis]            107        1e-22 
WP_153429204.1 dTMP kinase [Gluconobacter sp. AC10]                   103        1e-22 
WP_067186032.1 dTMP kinase [Microtetraspora niveoalba]                101        1e-22 
WP_108885135.1 dTMP kinase [Primorskyibacter insulae]                 106        1e-22 
WP_069115750.1 dTMP kinase [Spiroplasma helicoides]                   106        1e-22 
WP_058280315.1 dTMP kinase [Ruegeria denitrificans]                   106        1e-22 
WP_137697240.1 dTMP kinase [Ruminiclostridium sp. MA18]               106        2e-22 
WP_043768011.1 dTMP kinase [Roseivivax isoporae]                      106        2e-22 
WP_050523501.1 dTMP kinase [Pseudorhodobacter wandonensis]            106        2e-22 
WP_107496343.1 dTMP kinase [Thalassobius sp. I31.1]                   106        2e-22 
WP_066687716.1 dTMP kinase [Caulobacter sp. CCH9-E1]                  106        2e-22 
WP_077974641.1 dTMP kinase [Chlamydia gallinacea]                     100        2e-22 
WP_113155189.1 dTMP kinase [Nitratireductor sp. OM-1]                 106        2e-22 
WP_149789078.1 dTMP kinase [Lutimaribacter pacificus]                 106        2e-22 
WP_076485667.1 dTMP kinase [Rhodobacter aestuarii]                    105        2e-22 
WP_113788430.1 dTMP kinase [Ruegeria sp. A3M17]                       105        3e-22 
WP_144103635.1 dTMP kinase [Candidatus Melainabacteria bacterium]     104        3e-22 
WP_008226349.1 dTMP kinase [Roseobacter sp. GAI101]                   105        3e-22 
WP_009144416.1 dTMP kinase [Phascolarctobacterium succinatutens]      105        3e-22 
WP_061290948.1 dTMP kinase [Herbidospora cretacea]                    105        3e-22 
WP_103910333.1 dTMP kinase [Thalassococcus halodurans]                105        3e-22 
WP_152461848.1 dTMP kinase [Roseivivax sp. THAF30]                    105        3e-22 
WP_068928137.1 dTMP kinase [Planobispora rosea]                       97.4       3e-22 
WP_093173577.1 dTMP kinase [Sinosporangium album]                     96.7       3e-22 
WP_055482466.1 dTMP kinase [Microbispora sp. GMKU363]                 99.0       3e-22 
WP_146888078.1 dTMP kinase [Acetobacter oeni]                         102        3e-22 
WP_070190051.1 dTMP kinase [Humibacillus sp. DSM 29435]               105        3e-22 
WP_062498220.1 dTMP kinase [Gluconobacter oxydans]                    101        3e-22 
WP_058246364.1 dTMP kinase [Tropicibacter naphthalenivorans]          105        3e-22 
WP_117868431.1 dTMP kinase [Ruegeria sp. AD91A]                       105        3e-22 
WP_051456377.1 dTMP kinase [Caldicoprobacter oshimai]                 105        3e-22 
WP_148035682.1 dTMP kinase [Nonomuraea sp. C10]                       101        4e-22 
WP_013079243.1 dTMP kinase [Caulobacter segnis]                       105        4e-22 
WP_041112514.1 dTMP kinase [Gluconobacter oxydans]                    101        4e-22 
WP_105236301.1 dTMP kinase [Rhodobacteraceae bacterium]               105        4e-22 
WP_087593897.1 dTMP kinase [Rhodobacteraceae bacterium WFHF2C18]      105        4e-22 
WP_152458555.1 dTMP kinase [Ruegeria sp. THAF33]                      105        4e-22 
WP_078705371.1 dTMP kinase [Bartonella sp. WD16.2]                    105        4e-22 
WP_125158391.1 dTMP kinase [Caulobacter sp. 602-1]                    105        4e-22 
WP_017326939.1 dTMP kinase [Synechococcus sp. PCC 7336]               105        4e-22 
WP_093031799.1 dTMP kinase [Ruegeria marina]                          105        4e-22 
WP_154596049.1 dTMP kinase [Aeromicrobium sp. zg-629]                 105        5e-22 
WP_076626524.1 dTMP kinase [Tateyamaria omphalii]                     105        5e-22 
WP_068304847.1 dTMP kinase [Pararhodobacter sp. CCB-MM2]              105        5e-22 
WP_062449889.1 dTMP kinase [Gluconobacter oxydans]                    100        5e-22 
WP_099535617.1 dTMP kinase [Caulobacter sp. X]                        105        5e-22 
WP_038525184.1 dTMP kinase [Bartonella henselae]                      105        5e-22 
WP_068335470.1 dTMP kinase [Ruegeria profundi]                        105        5e-22 
WP_101780317.1 dTMP kinase [Spiroplasma monobiae]                     105        5e-22 
WP_055192079.1 dTMP kinase [Aliiroseovarius crassostreae]             105        5e-22 
WP_019878650.1 dTMP kinase [Succinispira mobilis]                     104        5e-22 
WP_109643923.1 MULTISPECIES: dTMP kinase [unclassified Ruminococc...  104        5e-22 
WP_040095279.1 dTMP kinase [Geoalkalibacter ferrihydriticus]          100        5e-22 
WP_092282349.1 dTMP kinase [Caldicoprobacter faecalis]                104        5e-22 
WP_083454843.1 dTMP kinase [Tetrasphaera japonica]                    105        6e-22 
WP_035162561.1 dTMP kinase [Caloranaerobacter azorensis]              105        6e-22 
WP_116564506.1 dTMP kinase [Caulobacter radicis]                      96.7       6e-22 
WP_085636082.1 dTMP kinase [Marivita geojedonensis]                   104        6e-22 
WP_137247962.1 dTMP kinase [Herbidospora sp. NEAU-GS14]               104        6e-22 
WP_111170398.1 dTMP kinase [Desertiactinospora gelatinilytica]        98.6       6e-22 
WP_011190050.1 dTMP kinase [Desulfotalea psychrophila]                104        6e-22 
