locus_tag	KEGG_ko
LFT_00001	K02313
LFT_00002	K02338
LFT_00003	K02470
LFT_00004	K02469,K02621
LFT_00006	K04068,K10026
LFT_00007	K06920
LFT_00008	K01255,K01259
LFT_00009	K03664
LFT_00012	
LFT_00013	
LFT_00014	K21498
LFT_00015	K07483,K07497
LFT_00016	K07497
LFT_00017	K07334
LFT_00018	
LFT_00019	
LFT_00020	K01649
LFT_00021	K03719
LFT_00022	
LFT_00023	
LFT_00024	K07001
LFT_00025	
LFT_00026	K03574,K08320
LFT_00027	
LFT_00028	
LFT_00029	K05710
LFT_00031	K03168
LFT_00032	K01673
LFT_00033	K17218
LFT_00034	
LFT_00035	
LFT_00036	
LFT_00037	K07568
LFT_00038	
LFT_00040	K05595
LFT_00043	K13598
LFT_00044	K02481,K13599
LFT_00045	K00648
LFT_00046	K05807,K08309
LFT_00047	K02304
LFT_00050	
LFT_00051	K00762
LFT_00053	K05366
LFT_00054	K00134,K01596,K03472
LFT_00055	K00927,K01803
LFT_00056	K01803
LFT_00057	K03075
LFT_00058	K02035
LFT_00059	K00759,K02033
LFT_00060	K02031,K02034,K15582
LFT_00061	K01091
LFT_00064	K02108
LFT_00065	K02110,K02124
LFT_00066	K02109
LFT_00067	K02109,K02113
LFT_00068	K02111
LFT_00069	K02115
LFT_00070	K02112
LFT_00071	K02114
LFT_00072	K00219,K01069
LFT_00075	K07337,K21008
LFT_00076	
LFT_00077	
LFT_00079	K03651,K05889,K12132,K17713
LFT_00080	K01061
LFT_00081	
LFT_00082	K03269
LFT_00083	K03429
LFT_00085	K01759,K15772
LFT_00086	K01895
LFT_00087	K03149
LFT_00088	K00788,K14153
LFT_00089	
LFT_00090	K00941
LFT_00091	
LFT_00092	K01868
LFT_00093	K02520
LFT_00094	K02916
LFT_00095	K02887
LFT_00096	K01889,K01890
LFT_00097	K01889
LFT_00098	K02031,K02032
LFT_00099	K02031,K02032,K02034,K15583
LFT_00100	K01737
LFT_00102	
LFT_00103	K03711
LFT_00104	K02888
LFT_00105	K02899
LFT_00106	K03979
LFT_00107	K00931
LFT_00108	K00147,K15515
LFT_00109	K00969,K03574
LFT_00110	K00969,K09710
LFT_00111	K19804
LFT_00112	K02242
LFT_00113	K03722
LFT_00114	
LFT_00115	
LFT_00116	
LFT_00117	K06890,K19416
LFT_00118	K00826
LFT_00119	K02335
LFT_00122	K00859
LFT_00123	K00963
LFT_00124	K01338
LFT_00125	K00946
LFT_00126	K09928
LFT_00127	K03640
LFT_00128	K03640
LFT_00130	K12573
LFT_00134	K21929
LFT_00135	
LFT_00137	
LFT_00139	K00382,K00520
LFT_00142	
LFT_00144	
LFT_00145	
LFT_00146	
LFT_00147	
LFT_00148	K02428,K02499,K04765
LFT_00150	
LFT_00155	K05802,K22051
LFT_00156	K02837,K07133
LFT_00157	K06187
LFT_00158	K09747
LFT_00159	K01885,K02341,K02343
LFT_00165	K07235
LFT_00166	K00392
LFT_00168	K09778
LFT_00169	K09778
LFT_00171	
LFT_00172	K07798
LFT_00173	K07787,K15726
LFT_00174	K04100,K15777
LFT_00175	K06204
LFT_00176	
LFT_00178	K01778
LFT_00180	
LFT_00181	K13730
LFT_00182	
LFT_00183	K07442
LFT_00185	
LFT_00186	
LFT_00187	
LFT_00189	K03406
LFT_00190	K03770,K03771
LFT_00193	K00605
LFT_00194	K00605
LFT_00195	K02437
LFT_00196	K00281,K00282
LFT_00197	K00283
LFT_00198	K03800
LFT_00200	
LFT_00201	
LFT_00202	K18979
LFT_00203	K10941
LFT_00205	K10942
LFT_00206	K07713,K07714,K10943
LFT_00207	K02387
LFT_00208	K02388
LFT_00209	K02408
LFT_00210	K02409
LFT_00211	K02410
LFT_00212	K02411,K03223
LFT_00213	K02412
