,locus_tag,gene
1,LFT_00379,ilvE_2
2,LFT_00522,treS_1
3,LFT_00531,adhc1
4,LFT_00609,frdA
5,LFT_00998,icd_2
6,LFT_01228,nuoL_2
7,LFT_01343,rgtA
8,LFT_01389,iaaA
9,LFT_01408,glgP
10,LFT_01478,Hgd
11,LFT_01495,desA2
12,LFT_01566,desA1
13,LFT_01809,hddC_1
14,LFT_01848,nuoL_3
15,LFT_01855,nuoL_4
16,LFT_01864,glxR
17,LFT_02185,tam_1
18,LFT_02225,crtB_2
19,LFT_02324,safD
20,LFT_02373,tam_2
21,LFT_02475,nasE
22,LFT_00308,pgmB
23,LFT_00705,ispA
24,LFT_00723,nuoK
25,LFT_00878,ctpA
26,LFT_00933,mtnP
27,LFT_01350,aspB
28,LFT_01378,spoU
29,LFT_01768,mpg
30,LFT_02188,gnd
31,LFT_02283,rdgB
32,LFT_02477,pepP
33,LFT_02496,porB
34,LFT_02501,forB
35,LFT_02502,forA
36,LFT_02507,hldE
37,LFT_02509,prsA
38,LFT_02560,cbiH
39,LFT_00243,putative oxidoreductase
40,LFT_00708,UDP-glucose 4-epimerase
41,LFT_00072,gloC
42,LFT_00602,sucC_1
43,LFT_00603,sucD_1
44,LFT_01223,zraS_3
45,LFT_01338,bcrC_1
46,LFT_01493,sir_2
47,LFT_01508,cyaA
48,LFT_01858,kinE_2
49,LFT_00530,mak1
50,LFT_00599,gmr_1
51,LFT_00719,sfrA
52,LFT_00789,lcfB
53,LFT_01208,sir_1
54,LFT_01323,gmhB
55,LFT_01588,cbiF
56,LFT_01987,pabA
57,LFT_02027,nasF_2
58,LFT_02307,priA_1
59,LFT_02571,Ribulose bisphosphate carboxylase-like protein
