,locus_tag,gene,,,
9,LFT_00563,hypothetical protein,,, 
43,LFT_02574,hypothetical protein,,,
94,LFT_00936,putative TPR-domain containing protein,,,
104,LFT_01250,hypothetical autoinducer binding domain-containing protein,,,
