,locus_tag,gene,EC_number,Preferred_name,EC
1,LFT_00014,ybaQ_1,,higA,
2,LFT_00155,mscK,,kefA,
3,LFT_00171,tolC_1,,czcC,
4,LFT_00236,pomA_1,,motC,
5,LFT_00237,pomA_2,,motC,
6,LFT_00317,dppB_2,,ppB,
7,LFT_00337,hlyU,,bigR,
8,LFT_00421,lppC_1,,ybcL,
9,LFT_00431,apbC,,mrp,
10,LFT_00436,dnaK_1,,hscA,
11,LFT_00438,erpA_1,,ycf57,
12,LFT_00444,corC,,ytfL,
13,LFT_00559,glrR_1,,atoC,
14,LFT_00584,zntR,,merR,
15,LFT_00585,yfkC,,mscS,
16,LFT_00597,vnfA,,atoC,
17,LFT_00729,nrgA,,amtB,
18,LFT_00747,xcpT,,lspG,
19,LFT_00748,epsF,,gspF,
20,LFT_00749,epsE_2,,gspE,
21,LFT_00776,mdtC_1,,MA20_13830,
22,LFT_00861,mdtC_2,,MA20_39335,
23,LFT_00750,xcpQ_1,,gspD,
24,LFT_00851,petB_1,,qcrC,
25,LFT_00905,emrA,,yhbJ,
26,LFT_00912,hpf,,raiA,
27,LFT_00927,exbB_1,,tolQ,
28,LFT_00928,exbD_1,,tolR,
29,LFT_00950,cusA,,czcA,
30,LFT_00955,xerD_2,,rci,
31,LFT_00973,emrK_1,,yhbJ,
32,LFT_01009,virB4,,trbE,
33,LFT_01012,ptlH,,virB,
34,LFT_01086,xcpQ_2,,gspD,
35,LFT_01161,hmrR,,merR,
36,LFT_01189,fdxB,,rnfB,
37,LFT_01299,xerC_2,,rci,
38,LFT_01419,yiaD,,ompA2,
39,LFT_01523,xcpV,,gspI,
40,LFT_01537,czcB_1,,cusB,
41,LFT_01572,sigA,,rpoS,
42,LFT_01748,xerD_4,,rci,
43,LFT_01774,higA_3,,vapL,
44,LFT_01792,fitA,,stbC,
45,LFT_01867,hflK,,qmcA,
46,LFT_01920,hspA_1,,MA20_45160,
47,LFT_01969,ybhR_2,,pedC,
48,LFT_02040,nhaK,,yjcE,
49,LFT_02044,aaeB,,ydhK,
50,LFT_02046,aaeA,,ydhJ,
51,LFT_02072,czcA_4,,cecA_2,
52,LFT_02073,macA_2,,ceaB,
53,LFT_02074,czcC,,cecC,
54,LFT_02077,ziaR,,nmtR,
55,LFT_02093,xerD_5,,rci,
56,LFT_02107,oprM_2,,nodT,
57,LFT_02108,bepE,,lmxF_2,
58,LFT_02242,xerD_6,,rci,
59,LFT_02287,hspA_2,,ibpA,
60,LFT_02349,acsAB,,bcsB,
61,LFT_02360,nifA,,norR,
62,LFT_02378,hag_1,,fliC,
63,LFT_02385,hag_2,,fliC,
64,LFT_02479,cusB_3,,czcB,
65,LFT_02548,mnmG,,gidA,
